,Model,y transform,x transform,LED,r2 train,mae train,r2 test,mae test
3376,NuSVR,Exponential,None,505 nm LED,0.9999612177216213,0.0003309771663348198,-0.15708028034206928,0.0477253313905422
3377,NuSVR,Exponential,Exponential,505 nm LED,0.9999602261332624,0.0003276004170939844,-0.19973445606059234,0.04896452365603103
3378,NuSVR,Exponential,Logarithm,505 nm LED,0.7000544767515732,0.02306141260531307,0.5398500845121497,0.02654245184638544
3379,NuSVR,Logarithm,None,505 nm LED,0.9994565359650174,0.0002236432722856829,-0.2049222429789989,0.04752314978934699
3380,NuSVR,Logarithm,Exponential,505 nm LED,0.9994280136539048,0.00025163217201363853,-0.2516126314029698,0.049184220214703714
3381,NuSVR,Logarithm,Logarithm,505 nm LED,0.4863728865456767,0.03144668900500832,0.28710530434262393,0.035323687498859904
3382,NuSVR,Reciprocol,None,505 nm LED,0.16465407625770678,0.04231853483228476,-0.28022136410147636,0.049213242838402005
3383,NuSVR,Reciprocol,Exponential,505 nm LED,0.16237295248406236,0.04244252359924726,-0.28389345671760463,0.04935427170331248
3384,NuSVR,Reciprocol,Logarithm,505 nm LED,-0.015223365626038543,0.04623043815999586,-0.21874669393482601,0.047679885975217565
3385,LinearRegression,None,None,505 nm LED,0.7146095686941338,0.022380773205233424,0.5644343857018471,0.024352137235754804
3386,LinearRegression,None,Exponential,505 nm LED,0.0258839095727047,0.04666129311116425,-182.14994085644696,0.160323334634994
3387,LinearRegression,None,Logarithm,505 nm LED,0.6894623945953595,0.024091475984106395,0.5181035863302093,0.026985794838842336
3388,LinearRegression,Exponential,None,505 nm LED,0.7083128269158714,0.0229467339794033,0.5530958012928998,0.024913202548013373
3389,LinearRegression,Exponential,Exponential,505 nm LED,0.025130269855174192,0.04678969379293699,-15.25614818117632,0.08011395500191973
3390,LinearRegression,Exponential,Logarithm,505 nm LED,0.6812831165037128,0.02475191407536466,0.5017764048612783,0.027740539986218345
3391,LinearRegression,Logarithm,None,505 nm LED,0.696755174499621,0.021014940903102387,0.547165246555144,0.022664024509442753
3392,LinearRegression,Logarithm,Exponential,505 nm LED,-0.03413629675880214,0.04661704429239071,-4.4957591645303816e+72,1.7720749947894003e+34
3393,LinearRegression,Logarithm,Logarithm,505 nm LED,0.6711760384061065,0.02252089268893374,0.4925804690850809,0.025755753766267153
3394,LinearRegression,Reciprocol,None,505 nm LED,-2.4916617693727034,0.03820224793876604,-1.1423915936429987,0.04102920450335417
3395,LinearRegression,Reciprocol,Exponential,505 nm LED,-0.22334232798700793,0.04903916450938449,-0.5988799076495394,0.05328963585960582
3396,LinearRegression,Reciprocol,Logarithm,505 nm LED,-1.682571141657665,0.03506480022878621,-1.0422209522814314,0.04070610413948742
3397,Kernel Ridge,None,None,505 nm LED,0.700718827306525,0.022439777784501992,0.5567879740933892,0.02395338328771144
3398,Kernel Ridge,None,Exponential,505 nm LED,-4.707062892428512,0.12012871784227107,-6004.094354329418,0.7674106431588605
3399,Kernel Ridge,None,Logarithm,505 nm LED,0.5560680951406065,0.030830959140039194,0.4064692510757494,0.033672734671353836
